Datetime,Close,BB_upper,BB_middle,BB_lower,RSI,ADX,DI+,DI-,Volatility
2024-08-26 00:19:00+01:00,1.32083,1.32123,1.32099,1.32075,41.67,0.0,50.36281,49.63719,0.72562
2024-08-26 00:20:00+01:00,1.32079,1.32123,1.32099,1.32075,39.45,0.0,48.29261,51.70739,3.41478
2024-08-26 00:21:00+01:00,1.32078,1.32123,1.32098,1.32073,38.35,0.0,47.24336,52.75664,5.51327
2024-08-26 00:22:00+01:00,1.32086,1.32123,1.32098,1.32072,46.39,0.0,52.74876,47.25124,5.49751
2024-08-26 00:23:00+01:00,1.32081,1.32124,1.32097,1.32071,42.78,0.0,49.41806,50.58194,1.16388
2024-08-26 00:24:00+01:00,1.32113,1.32125,1.32098,1.3207,61.92,0.0,64.07924,35.92076,28.15848
2024-08-26 00:25:00+01:00,1.32107,1.32125,1.32098,1.3207,58.41,0.0,60.91156,39.08844,21.82312
2024-08-26 00:26:00+01:00,1.32092,1.32124,1.32097,1.3207,49.38,0.0,52.52312,47.47688,5.04625
2024-08-26 00:27:00+01:00,1.32085,1.32123,1.32096,1.32069,45.98,8.1534,49.27689,50.72311,1.44621
2024-08-26 00:28:00+01:00,1.32076,1.32122,1.32094,1.32066,42.08,8.21553,45.48838,54.51162,9.02324
2024-08-26 00:29:00+01:00,1.32085,1.3212,1.32093,1.32066,46.93,7.67776,49.65662,50.34338,0.68676
2024-08-26 00:30:00+01:00,1.32085,1.32119,1.32092,1.32065,46.93,7.17841,49.65662,50.34338,0.68676
2024-08-26 00:31:00+01:00,1.32104,1.32118,1.32092,1.32065,56.27,7.78983,57.86917,42.13083,15.73834
2024-08-26 00:32:00+01:00,1.32088,1.32114,1.3209,1.32067,48.71,7.31826,50.59391,49.40609,1.18782
2024-08-26 00:33:00+01:00,1.32097,1.32109,1.32089,1.32069,52.53,7.37432,54.05157,45.94843,8.10314
2024-08-26 00:34:00+01:00,1.32102,1.32109,1.32089,1.32069,54.71,7.71025,56.03863,43.96137,12.07725
2024-08-26 00:35:00+01:00,1.32106,1.32111,1.3209,1.32069,56.15,8.2115,57.3639,42.6361,14.7278
2024-08-26 00:36:00+01:00,1.32104,1.32113,1.32091,1.32069,55.2,8.54561,56.44453,43.55547,12.88906
2024-08-26 00:37:00+01:00,1.32085,1.32113,1.32091,1.32069,46.01,8.29585,47.47552,52.52448,5.04897
2024-08-26 00:38:00+01:00,1.32085,1.32113,1.32091,1.32069,46.01,8.06393,47.47552,52.52448,5.04897
2024-08-26 00:39:00+01:00,1.3209,1.32113,1.32091,1.3207,48.71,7.49014,49.98459,50.01541,0.03081
2024-08-26 00:40:00+01:00,1.32102,1.32114,1.32092,1.32071,54.44,7.72068,55.35889,44.64111,10.71778
2024-08-26 00:41:00+01:00,1.32093,1.32113,1.32093,1.32073,50.13,7.3311,51.13324,48.86676,2.26649
2024-08-26 00:42:00+01:00,1.32109,1.32115,1.32094,1.32073,56.76,7.86879,57.42939,42.57061,14.85879
2024-08-26 00:43:00+01:00,1.32106,1.32116,1.32096,1.32075,55.01,8.12321,55.71536,44.28464,11.43073
2024-08-26 00:44:00+01:00,1.32095,1.32114,1.32095,1.32076,50.02,7.6573,50.80018,49.19982,1.60036
2024-08-26 00:45:00+01:00,1.32086,1.32112,1.32094,1.32075,46.26,7.52811,47.07568,52.92432,5.84865
2024-08-26 00:46:00+01:00,1.32076,1.32113,1.32093,1.32073,42.17,7.98934,43.00732,56.99268,13.98536
2024-08-26 00:47:00+01:00,1.32078,1.32113,1.32093,1.32072,43.06,8.29424,43.87102,56.12898,12.25796
2024-08-26 00:48:00+01:00,1.32078,1.32113,1.32093,1.32072,43.06,8.57736,43.87102,56.12898,12.25796
2024-08-26 00:49:00+01:00,1.32076,1.32114,1.32092,1.32071,42.3,8.94851,43.11327,56.88673,13.77345
2024-08-26 00:50:00+01:00,1.32086,1.32114,1.32092,1.32071,48.26,8.47134,48.86598,51.13402,2.26804
2024-08-26 00:51:00+01:00,1.32081,1.32112,1.32091,1.3207,45.71,8.38913,46.3398,53.6602,7.32041
2024-08-26 00:52:00+01:00,1.32083,1.32112,1.32091,1.32069,46.73,8.1725,47.32183,52.67817,5.35634
2024-08-26 00:53:00+01:00,1.32072,1.32112,1.3209,1.32067,41.72,8.68332,42.33797,57.66203,15.32407
2024-08-26 00:54:00+01:00,1.32069,1.32112,1.32088,1.32064,40.17,9.37824,40.79393,59.20607,18.41214
2024-08-26 00:55:00+01:00,1.32079,1.32109,1.32087,1.32064,46.57,9.13291,47.02818,52.97182,5.94364
2024-08-26 00:56:00+01:00,1.32106,1.3211,1.32087,1.32064,58.51,9.72807,58.73256,41.26744,17.46511
2024-08-26 00:57:00+01:00,1.32127,1.32117,1.32089,1.3206,65.21,11.22358,65.33262,34.66738,30.66525
2024-08-26 00:58:00+01:00,1.32139,1.32127,1.32092,1.32056,68.41,13.06406,68.49513,31.50487,36.99026
2024-08-26 00:59:00+01:00,1.32146,1.32137,1.32094,1.32051,70.11,15.01302,70.17477,29.82523,40.34955
2024-08-26 01:00:00+01:00,1.32127,1.32141,1.32096,1.32051,60.5,15.45814,60.62234,39.37766,21.24467
2024-08-26 01:01:00+01:00,1.32141,1.32147,1.32098,1.32049,64.33,16.41316,64.41423,35.58577,28.82845
2024-08-26 01:02:00+01:00,1.3213,1.3215,1.32099,1.32048,59.66,16.63609,59.76704,40.23296,19.53409
2024-08-26 01:03:00+01:00,1.32116,1.32151,1.321,1.32048,54.02,16.04079,54.15098,45.84902,8.30196
2024-08-26 01:04:00+01:00,1.32123,1.32153,1.32101,1.32049,56.25,15.80346,56.35908,43.64092,12.71816
2024-08-26 01:05:00+01:00,1.32118,1.32155,1.32102,1.3205,54.13,15.28129,54.24656,45.75344,8.49312
2024-08-26 01:06:00+01:00,1.3213,1.32157,1.32105,1.32053,58.09,15.35873,58.18271,41.81729,16.36543
2024-08-26 01:07:00+01:00,1.3213,1.32159,1.32108,1.32056,58.09,15.43064,58.18271,41.81729,16.36543
2024-08-26 01:08:00+01:00,1.32125,1.3216,1.3211,1.3206,55.7,15.15636,55.79534,44.20466,11.59068
2024-08-26 01:09:00+01:00,1.32114,1.3216,1.32112,1.32064,51.17,14.25578,51.27416,48.72584,2.54831
2024-08-26 01:10:00+01:00,1.32099,1.32159,1.32113,1.32066,45.22,13.90388,45.33538,54.66462,9.32924
2024-08-26 01:11:00+01:00,1.32107,1.32159,1.32114,1.3207,48.78,13.07119,48.87695,51.12305,2.2461
2024-08-26 01:12:00+01:00,1.32102,1.32158,1.32115,1.32072,46.81,12.5784,46.91391,53.08609,6.17218
2024-08-26 01:13:00+01:00,1.32106,1.32155,1.32117,1.32078,48.31,11.90803,48.40339,51.59661,3.19323
