Datetime,Close,BB_upper,BB_middle,BB_lower,RSI,ADX,DI+,DI-,Volatility
2024-08-19 00:21:00+01:00,0.66749,0.66759,0.66734,0.6671,69.07,0.0,60.43472,7.59675,52.83798
2024-08-19 00:22:00+01:00,0.66748,0.6676,0.66736,0.66711,66.59,0.0,63.95873,6.75172,57.20701
2024-08-19 00:23:00+01:00,0.66742,0.6676,0.66736,0.66712,57.02,0.0,61.44309,10.41938,51.02372
2024-08-19 00:24:00+01:00,0.66747,0.66761,0.66738,0.66714,61.99,0.0,65.41566,9.19092,56.22474
2024-08-19 00:25:00+01:00,0.66748,0.66761,0.66739,0.66717,62.84,0.0,65.01155,9.13414,55.87741
2024-08-19 00:26:00+01:00,0.66746,0.66762,0.6674,0.66719,59.97,0.0,67.1685,8.25805,58.91045
2024-08-19 00:27:00+01:00,0.66747,0.66761,0.66741,0.66722,60.93,0.0,66.73909,8.20526,58.53383
2024-08-19 00:28:00+01:00,0.66765,0.66763,0.66744,0.66725,74.24,0.0,70.77771,7.20896,63.56875
2024-08-19 00:29:00+01:00,0.66746,0.6676,0.66745,0.66731,53.6,76.22544,62.23438,8.92591,53.30848
2024-08-19 00:30:00+01:00,0.6676,0.66761,0.66747,0.66732,62.22,76.26844,61.9758,8.12166,53.85415
2024-08-19 00:31:00+01:00,0.66745,0.66761,0.66747,0.66733,51.31,74.68916,56.18441,16.70732,39.47708
2024-08-19 00:32:00+01:00,0.6674,0.66761,0.66747,0.66734,48.1,73.51336,57.19038,15.09823,42.09215
2024-08-19 00:33:00+01:00,0.66738,0.6676,0.66747,0.66735,47.05,72.24478,56.54096,16.06232,40.47864
2024-08-19 00:34:00+01:00,0.66739,0.6676,0.66747,0.66735,47.67,71.52358,61.28916,14.30741,46.98175
2024-08-19 00:35:00+01:00,0.66734,0.66761,0.66747,0.66733,44.59,70.37849,58.86757,16.85004,42.01753
2024-08-19 00:36:00+01:00,0.66732,0.66761,0.66746,0.66731,43.49,69.49595,57.32793,15.22855,42.09938
2024-08-19 00:37:00+01:00,0.66734,0.66762,0.66745,0.66729,44.96,68.67645,56.65436,15.04962,41.60474
2024-08-19 00:38:00+01:00,0.66733,0.66761,0.66745,0.66728,44.33,68.25432,59.93532,13.71036,46.22496
2024-08-19 00:39:00+01:00,0.66734,0.66761,0.66744,0.66727,45.15,67.86235,59.20283,13.5428,45.66003
2024-08-19 00:40:00+01:00,0.66751,0.66761,0.66744,0.66727,58.01,67.87956,63.2596,12.00317,51.25643
2024-08-19 00:41:00+01:00,0.66737,0.6676,0.66743,0.66726,48.05,67.69776,57.48263,12.05236,45.43026
2024-08-19 00:42:00+01:00,0.66735,0.6676,0.66743,0.66725,46.7,67.74832,59.32238,11.12942,48.19296
2024-08-19 00:43:00+01:00,0.66733,0.6676,0.66742,0.66724,45.6,67.5901,58.60591,12.20275,46.40316
2024-08-19 00:44:00+01:00,0.6673,0.6676,0.66741,0.66723,43.66,67.74982,61.13105,10.8614,50.26964
2024-08-19 00:45:00+01:00,0.66723,0.6676,0.6674,0.6672,39.52,67.02208,57.88703,15.59169,42.29534
2024-08-19 00:46:00+01:00,0.66722,0.6676,0.66739,0.66718,39.02,66.73478,61.63959,13.99186,47.64773
2024-08-19 00:47:00+01:00,0.66736,0.66759,0.66738,0.66717,49.62,66.468,56.28509,12.77642,43.50867
2024-08-19 00:48:00+01:00,0.66735,0.66754,0.66737,0.6672,49.03,66.57112,60.13705,11.49233,48.64472
2024-08-19 00:49:00+01:00,0.66739,0.66753,0.66736,0.6672,51.82,66.66687,58.59343,11.19734,47.39609
2024-08-19 00:50:00+01:00,0.66751,0.6675,0.66736,0.66721,59.29,67.00705,61.86984,10.31132,51.55852
