Datetime,Close,BB_upper,BB_middle,BB_lower,RSI,ADX,DI+,DI-,Volatility
2024-08-26 00:19:00+01:00,0.67907,0.6792,0.67893,0.67866,55.7,0.0,50.98008,9.62126,41.35882
2024-08-26 00:20:00+01:00,0.67895,0.6792,0.67894,0.67869,51.33,0.0,48.08485,9.07486,39.01
2024-08-26 00:21:00+01:00,0.67893,0.6792,0.67895,0.6787,50.67,0.0,43.76323,17.24675,26.51649
2024-08-26 00:22:00+01:00,0.67887,0.67919,0.67895,0.67872,48.34,0.0,41.199,16.2362,24.9628
2024-08-26 00:23:00+01:00,0.67907,0.6792,0.67896,0.67872,55.31,0.0,46.68223,14.72216,31.96007
2024-08-26 00:24:00+01:00,0.67904,0.67919,0.67898,0.67877,54.06,0.0,43.22891,13.63309,29.59582
2024-08-26 00:25:00+01:00,0.67921,0.67923,0.67899,0.67876,59.3,0.0,47.63911,12.57402,35.06509
2024-08-26 00:26:00+01:00,0.67911,0.67923,0.67901,0.67879,55.26,0.0,44.80245,11.8253,32.97715
2024-08-26 00:27:00+01:00,0.67926,0.67927,0.67902,0.67878,59.58,61.17064,48.36688,10.97047,37.39641
2024-08-26 00:28:00+01:00,0.6791,0.67926,0.67904,0.67882,53.66,61.30298,44.87352,10.17811,34.69541
2024-08-26 00:29:00+01:00,0.67921,0.67928,0.67905,0.67881,56.91,61.66529,47.33169,9.5658,37.76589
2024-08-26 00:30:00+01:00,0.67905,0.67927,0.67906,0.67885,51.26,61.58225,43.59934,10.72914,32.8702
2024-08-26 00:31:00+01:00,0.67916,0.67928,0.67907,0.67886,54.72,61.77479,44.44315,9.66414,34.77901
2024-08-26 00:32:00+01:00,0.67903,0.67928,0.67907,0.67886,50.26,61.95358,40.80791,8.87366,31.93425
2024-08-26 00:33:00+01:00,0.67907,0.67926,0.67906,0.67886,51.58,61.57414,38.20072,10.57403,27.6267
2024-08-26 00:34:00+01:00,0.67895,0.67926,0.67906,0.67885,47.65,61.12135,35.59441,10.26431,25.3301
2024-08-26 00:35:00+01:00,0.67912,0.67926,0.67906,0.67885,52.99,61.17678,40.37531,9.50237,30.87294
2024-08-26 00:36:00+01:00,0.67899,0.67926,0.67906,0.67886,48.82,61.22824,38.01198,8.94616,29.06582
2024-08-26 00:37:00+01:00,0.67916,0.67927,0.67906,0.67886,54.1,61.69551,42.89778,8.24104,34.65674
2024-08-26 00:38:00+01:00,0.67893,0.67927,0.67906,0.67886,47.08,60.78192,38.51044,13.21429,25.29615
2024-08-26 00:39:00+01:00,0.67902,0.67927,0.67906,0.67885,49.96,60.22783,40.1023,12.31059,27.79172
2024-08-26 00:40:00+01:00,0.6789,0.67927,0.67906,0.67885,46.46,59.71331,37.88599,11.63022,26.25577
